source_id,job_title_raw,soc_code_raw,occurrence_count,before_version,after_version,before_technical_role,after_technical_role,before_family,after_family,before_method,after_method,before_rule,after_rule,before_review_status,after_review_status,transition,inspection_status,reviewer,reviewer_note
dol_lca,BUSINESS ANALYST,15-2051.01,95,role_taxonomy_v1,role_taxonomy_v2,True,False,data_science,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:4,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Data Engineer in Biomedical Informatics,15-2051.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,data_science,data_engineering,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:4,data_engineering,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> TECHNICAL:data_engineering,PENDING_MANUAL_INSPECTION,,
dol_lca,Biomedical Data Scientist,15-2051.00,3,role_taxonomy_v1,role_taxonomy_v2,True,True,data_science,data_science,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:4,data_science,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> TECHNICAL:data_science,PENDING_MANUAL_INSPECTION,,
dol_lca,"Senior Data Scientist in Molecular Bio, Cell Bio, & Biochem",15-2051.00,2,role_taxonomy_v1,role_taxonomy_v2,True,True,data_science,data_science,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:4,data_science,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> TECHNICAL:data_science,PENDING_MANUAL_INSPECTION,,
dol_perm,Biomedical Data Scientist,15-2051.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,data_science,data_science,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:4,data_science,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> TECHNICAL:data_science,PENDING_MANUAL_INSPECTION,,
dol_lca,Biomedical Data Manager,15-2051.02,1,role_taxonomy_v1,role_taxonomy_v2,True,True,data_science,technical_management_related,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:4,technical_management,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> TECHNICAL:technical_management_related,PENDING_MANUAL_INSPECTION,,
dol_lca,Project Manager,15-1299.09,865,role_taxonomy_v1,role_taxonomy_v2,True,False,other_computing,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:6,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:other_computing -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Product Manager,15-1299.09,683,role_taxonomy_v1,role_taxonomy_v2,True,False,other_computing,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:6,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:other_computing -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Project Manager,15-1199,277,role_taxonomy_v1,role_taxonomy_v2,True,False,other_computing,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:6,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:other_computing -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Manager,15-1132,605,role_taxonomy_v1,role_taxonomy_v2,True,False,software_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:0,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Manager,15-1252.00,487,role_taxonomy_v1,role_taxonomy_v2,True,False,software_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:0,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Associate,15-1252.00,324,role_taxonomy_v1,role_taxonomy_v2,True,False,software_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:0,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Biomedical Research Software Engineer,15-1132,1,role_taxonomy_v1,role_taxonomy_v2,True,True,software_engineering,research_software,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:0,research_software,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> TECHNICAL:research_software,PENDING_MANUAL_INSPECTION,,
dol_lca,Biomedical Software Developer,15-1252.00,2,role_taxonomy_v1,role_taxonomy_v2,True,True,software_engineering,software_engineering,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:0,software_engineering,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> TECHNICAL:software_engineering,PENDING_MANUAL_INSPECTION,,
dol_perm,Senior Software Engineer in Test - Computational Biology,15-1253.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,software_engineering,software_engineering,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:0,software_engineering,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> TECHNICAL:software_engineering,PENDING_MANUAL_INSPECTION,,
dol_perm,Software Engineer in Test – Computational Biology,15-1253.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,software_engineering,software_engineering,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:0,software_engineering,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:software_engineering -> TECHNICAL:software_engineering,PENDING_MANUAL_INSPECTION,,
dol_lca,Business Analyst,15-1211.00,434,role_taxonomy_v1,role_taxonomy_v2,True,False,systems_infrastructure,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:2,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Business Analyst,15-1121,221,role_taxonomy_v1,role_taxonomy_v2,True,False,systems_infrastructure,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:2,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Business Analyst,15-1211.00,181,role_taxonomy_v1,role_taxonomy_v2,True,False,systems_infrastructure,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:2,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Cloud Infrastructure Engineer,15-1143,1,role_taxonomy_v1,role_taxonomy_v2,True,True,systems_infrastructure,cloud,STRONG_TITLE_PATTERN,STRONG_TITLE_PATTERN,systems_infrastructure,cloud,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> TECHNICAL:cloud,PENDING_MANUAL_INSPECTION,,
dol_perm,Cloud Infrastructure Engineer – Lead Associate ,,1,role_taxonomy_v1,role_taxonomy_v2,True,True,systems_infrastructure,cloud,STRONG_TITLE_PATTERN,STRONG_TITLE_PATTERN,systems_infrastructure,cloud,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> TECHNICAL:cloud,PENDING_MANUAL_INSPECTION,,
dol_lca,Sr. Cloud Infrastructure Engineer,17-2199.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,systems_infrastructure,cloud,STRONG_TITLE_PATTERN,STRONG_TITLE_PATTERN,systems_infrastructure,cloud,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:systems_infrastructure -> TECHNICAL:cloud,PENDING_MANUAL_INSPECTION,,
dol_lca,Manager,11-3021.00,741,role_taxonomy_v1,role_taxonomy_v2,True,False,technical_management_related,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:5,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:technical_management_related -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Product Manager,11-3021.00,162,role_taxonomy_v1,role_taxonomy_v2,True,False,technical_management_related,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:5,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:technical_management_related -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Director,11-3021.00,131,role_taxonomy_v1,role_taxonomy_v2,True,False,technical_management_related,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:5,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:technical_management_related -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Biomedical NLP Data Scientist,11-3021,1,role_taxonomy_v1,role_taxonomy_v2,True,True,technical_management_related,data_science,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:5,data_science,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:technical_management_related -> TECHNICAL:data_science,PENDING_MANUAL_INSPECTION,,
dol_lca,Pre-Sales Engineering Manager,11-3021.00,2,role_taxonomy_v1,role_taxonomy_v2,True,True,technical_management_related,technical_management_related,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:5,technical_management,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:technical_management_related -> TECHNICAL:technical_management_related,PENDING_MANUAL_INSPECTION,,
